src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,597.0,4840.0,16.366,1.165,0.0
1,0,352.0,4130.0,16.366,1.738,0.0
0,2,597.0,4730.0,8.211,0.551,4.0
2,0,353.0,4150.0,8.211,1.205,3.0
0,3,597.0,7010.0,2.897,0.224,0.0
3,0,596.0,7000.0,2.897,0.223,0.0
0,4,597.0,4840.0,4.658,0.749,0.0
4,0,504.0,5930.0,4.658,0.638,0.0
0,5,597.0,4330.0,5.913,0.761,39.0
5,0,270.0,2930.0,5.913,1.311,21.0
1,2,597.0,7010.0,2.958,0.52,0.0
2,1,596.0,6980.0,2.958,0.648,0.0
1,3,597.0,4940.0,4.349,0.874,5.0
3,1,512.0,6020.0,4.349,0.517,1.0
1,4,597.0,5810.0,2.666,0.488,0.0
4,1,490.0,5740.0,2.666,0.825,0.0
1,5,597.0,5900.0,4.516,0.485,2.0
5,1,494.0,5800.0,4.516,0.479,7.0
2,3,597.0,4019.9999999999995,5.661,0.341,56.0
3,2,304.0,3360.0,5.661,0.973,18.0
2,4,597.0,5790.0,4.563,0.515,0.0
4,2,492.0,5780.0,4.563,1.997,0.0
2,5,597.0,6960.0,3.032,0.66,0.0
5,2,592.0,6960.0,3.032,0.696,0.0
3,4,597.0,7190.0,3.087,0.596,1.0
4,3,597.0,7160.0,3.087,0.225,4.0
3,5,597.0,5760.0,4.346,0.505,0.0
5,3,463.0,5430.0,4.346,1.097,0.0
4,5,597.0,7050.0,2.649,0.286,0.0
5,4,596.0,6990.0,2.649,0.369,0.0
