src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,172.0,2050.0,21.418,0.453,0.0
1,0,172.0,2090.0,21.418,0.342,1.0
0,2,172.0,1990.0,7.675,1.447,0.0
2,0,170.0,2000.0,7.675,1.776,0.0
0,3,172.0,2000.0,4.545,0.7,0.0
3,0,171.0,2009.9999999999998,4.545,0.575,0.0
0,4,172.0,1990.0,5.846,0.729,0.0
4,0,171.0,2000.0,5.846,0.298,0.0
0,5,172.0,2000.0,7.301,0.902,0.0
5,0,171.0,2000.0,7.301,0.797,0.0
1,2,172.0,2000.0,5.66,0.463,0.0
2,1,171.0,2000.0,5.66,0.635,0.0
1,3,172.0,2080.0,3.176,0.27,6.0
3,1,172.0,2050.0,3.176,0.194,3.0
1,4,172.0,2110.0,3.912,0.236,6.0
4,1,172.0,2090.0,3.912,0.255,3.0
1,5,172.0,2000.0,7.255,1.373,0.0
5,1,171.0,2000.0,7.255,1.487,0.0
2,3,172.0,2280.0,4.326,0.694,17.0
3,2,172.0,2120.0,4.326,0.348,6.0
2,4,172.0,2060.0,2.913,0.963,2.0
4,2,172.0,2040.0,2.913,0.316,0.0
2,5,172.0,2000.0,3.777,0.7,0.0
5,2,171.0,2000.0,3.777,0.749,0.0
3,4,172.0,2070.0,6.93,0.464,6.0
4,3,172.0,2040.0,6.93,0.396,2.0
3,5,172.0,1990.0,4.718,0.559,0.0
5,3,171.0,2000.0,4.718,0.183,0.0
4,5,172.0,2000.0,2.724,0.334,0.0
5,4,171.0,2000.0,2.724,0.125,0.0
